animeTitle	Toshokan Sensou: Kakumei no Tsubasa
animeType	Movie
animeNumEpisode	1
releaseDate	2012-06-16 00:00:00
endDate	
animeNumMembers	21491
animeScore	7.78
animeUsers	7562
animeRank	900
animePopularity	3882
animeDescription	Kasahara Iku and Dojo Atsushi receive an emergency recall in the middle of their date as Japan is rocked by a terror attack. Their new duty is a protection detail assigned to Touma Kurato, an author. Meanwhile, the relationship between Librarians and the Media Purity Committee is also worsening. 
animeRelated	['Toshokan Sensou']
animeCharacters	['Doujou, Atsushi', 'Kasahara, Iku', 'Shibasaki, Asako', 'Komaki, Mikihisa', 'Tezuka, Hikaru', 'Nakazawa, Marie', 'Tezuka, Satoshi', 'Inamine, Kazuichi', 'Orikuchi, Maki', 'Genda, Ryuusuke']
animeVoices	['Maeno, Tomoaki', 'Inoue, Marina', 'Sawashiro, Miyuki', 'Ishida, Akira', 'Suzuki, Tatsuhisa', 'Ueda, Kana', 'Yoshino, Hiroyuki', 'Satou, Haruo', 'Suzumori, Kanji']
animeStaff	[['Hamana, Takayuki', 'Director'], ['Konuta, Kenji', 'Script'], ['Base Ball Bear', 'Theme Song Performance'], ['Kanno, Yuugo', 'Music']]
