animeTitle	Kero Kero Keroppi no Boku-tachi no Takaramono
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14271
animeDescription	Keroppi finds a sparkling stone which ends up bringing out the greed within himself and his friends.
animeRelated	['Kero Kero Keroppi no Gulliver no Bouken', 'Kero Kero Keroppi no Daibouken: Fushigi na Mame no Ki', 'Kero Kero Keroppi no Christmas Eve no Okurimono', 'Kero Kero Keroppi no Robin Hood', 'Kero Kero Keroppi no Bouken: Pink no Kinoko']
animeCharacters	['Hasunoue, Keroppi']
animeVoices	['Matsuo, Yoshiko']
animeStaff	[['Hata, Masami', 'Director'], ['Terada, Kenji', 'Screenplay']]
