animeTitle	b'PistStar'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.61
animeUsers	283
animeRank	
animePopularity	
animeDescription	"b""The Nagoya Keirin Golden Dolphin Competition is a bicycle race\xe2\x80\x94specifically a Japanese style track cycling event held in a velodrome\xe2\x80\x94and this year's 62nd annual competition will be supporting areas affected by the 2011 earthquake. An anime clip was created as part of a promotional campaign."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
