animeTitle	City Hunter 3
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.81
animeUsers	7327
animeRank	
animePopularity	4275
animeDescription	"Ryo Saeba is a ""sweeper"" know as the City Hunter. He and his sidekick Kaori Makimura are hired to solve problems that the police can't (or won't) handle. When he's not keeping the streets of Tokyo clean, Ryo is chasing the ladies, and Kaori chases after him with a giant anti-ecchi hammer. 

(Source: ANN)"
animeRelated	"['City Hunter', 'City Hunter 2', ""City Hunter '91"", 'City Hunter: Bay City Wars', 'City Hunter: Hyakuman Dollar no Inbou']"
animeCharacters	['Saeba, Ryou', 'Makimura, Kaori', 'Nogami, Saeko', 'Ijuuin, Hayato', 'Makimura, Hideyuki', 'Asou, Kasumi', 'Sakurai', 'Nogami, Reika', 'Moriwaki, Misuzu', 'Miki']
animeVoices	['Kamiya, Akira', 'Ikura, Kazue', 'Ichiryuusai, Harumi', 'Genda, Tesshou', 'Tominaga, Miina', 'Taguchi, Takashi', 'Takamori, Yoshino', 'Hayashibara, Megumi', 'Koyama, Mami']
animeStaff	[['Kodama, Kenji', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Egami, Kiyoshi', 'Episode Director, Storyboard'], ['Imanishi, Takashi', 'Episode Director, Script, Storyboard']]
