animeTitle	b'Bishoujo Senshi Sailor Moon R'
animeType	b'TV'
animeNumEpisode	43
releaseDate	
endDate	
animeNumMembers	
animeScore	7.7
animeUsers	73404
animeRank	
animePopularity	
animeDescription	"b""Usagi Tsukino and her friends have been living peacefully until they are called into action again as Sailor Guardians, planetary warriors fighting for the peace of the galaxy. Usagi, also known as Sailor Moon, leads their group into battle when a new threat from beyond the stars presents itself: two survivors of an alien race, An and Ail. In order to save the source of their life force, the Makai Tree, An and Ail begin harvesting energy from unsuspecting humans. The Sailor Guardians must stop their plot or face the annihilation of Earth.\n\nBut as one threat subsides, another follows\xe2\x80\x94this time in the form of a little girl from the future who seeks the source of Sailor Moon's power to save her family. However, she is not the only one vying for it, as a group known as the Black Moon Clan also wishes to obtain the power and use it for nefarious purposes. In order to protect their destinies and the harmony of the universe, Sailor Moon and the rest of the Sailor Guardians must fight to stop these forces from succeeding.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Bishoujo Senshi Sailor Moon', b'Bishoujo Senshi Sailor Moon R: The Movie', b'Bishoujo Senshi Sailor Moon S', b'Bishoujo Senshi Sailor Moon Memorial', b'Bishoujo Senshi Sailor Moon Crystal']
animeCharacters	[b'Tsukino, Usagi', b'Hino, Rei', b'Kino, Makoto', b'Aino, Minako', b'Mizuno, Ami', b'Chiba, Mamoru', b'Chibiusa', b'Meiou, Setsuna', b'Luna', b'Artemis']
animeVoices	[b'\nMitsuishi, Kotono\nJapanese\n', b'\nTomizawa, Michie\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nFukami, Rica\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nAraki, Kae\nJapanese\n', b'\nKawashima, Chiyoko\nJapanese\n', b'\nHan, Keiko\nJapanese\n', b'\nTakato, Yasuhiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIkuhara, Kunihiko\n\nDirector, Episode Director, Storyboard, Art Director\n\n', b'\nSatou, Junichi\n\nDirector\n\n', b'\nEndou, Yuuji\n\nSound Director, Episode Director, Storyboard\n\n', b'\nShibata, Hiroki\n\nSound Director, Episode Director, Storyboard\n\n']
