animeTitle	Kujira no Josephina
animeType	TV
animeNumEpisode	23
releaseDate	1979-04-02 00:00:00
endDate	1979-09-25 00:00:00
animeNumMembers	487
animeScore	6.08
animeUsers	112
animeRank	8279
animePopularity	13021
animeDescription	"Santi is a shy Spanish boy who keeps a tiny whale in a bowl, invisible to everyone but him. The whale, named Josephina, is able to alter her size and fly; she takes Santi on many dreamlike adventures and helps him confront the challenges during his childhood; however, things change as Santi starts taking interest in the outside world and gets to know his distant father.

Based on Adios, Josefina (Goodbye, Josephine) by Jose Maria Sanchez-Silva.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Santi', 'Josephina', 'Rosa', 'Benita']
animeVoices	['Jinbo, Naomi', 'Takahashi, Kazue', 'Suzuki, Tomiko', 'Kawashima, Chiyoko']
animeStaff	[['Yuyama, Kunihiko', 'Director'], ['Nitta, Yoshikata', 'Director'], ['Kanada, Yoshinori', 'Storyboard, Key Animation'], ['Columbia Yurikago Kai', 'Theme Song Performance']]
