animeTitle	Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai
animeType	TV
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	7.11
animeUsers	13323
animeRank	
animePopularity	2971
animeDescription	"To save both the Magical Kingdom and the Heavens and restore the flow of akuto, the flow of energy of everything, the Magical King Munto must follow a vision and find the girl Yumemi in the normal world. Yumemi herself is just a normal girl except that she is the only one who can see the islands of the Heavens floating above. When Munto appears before her she starts thinking about hers and others responsibility to the world.

(Source: ANN)"
animeRelated	['Munto: Toki no Kabe wo Koete', 'Munto', 'Tenjoubito to Akutobito Saigo no Tatakai']
animeCharacters	['Munto', 'Hidaka, Yumemi', 'Ono, Ichiko', 'Imamura, Suzume', 'Gass', 'Takamori, Kazuya', 'Gntaru', 'Leica', 'Irita']
animeVoices	['Ono, Daisuke', 'Aizawa, Mai', 'Horikawa, Chika', 'Konno, Hiromi', 'Inada, Tetsu', 'Takahashi, Shinya', 'Wakamoto, Norio', 'Saito, Fuko']
animeStaff	[['Hatta, Hideaki', 'Producer'], ['Kigami, Yoshiji', 'Director, Episode Director, Script, Storyboard, Key Animation, Series Composition'], ['Tsuruoka, Youta', 'Sound Director'], ['Aratani, Tomoe', 'Episode Director, Storyboard, Character Design, Animation Director']]
