animeTitle	Otome Dori
animeType	OVA
animeNumEpisode	2
releaseDate	2012-05-25 00:00:00
endDate	2012-09-28 00:00:00
animeNumMembers	18708
animeScore	5.56
animeUsers	8564
animeRank	
animePopularity	4119
animeDescription	"Kazuki Okino is an ordinary high schooler living a carefree life. He's always been close to his childhood friend, Otome Sakuragi—a beautiful girl every boy in his school dreams of being with. Because he and Otome often hang out together and get along very well, Kazuki believes that it is inevitable that they begin dating. However, Kazuki's little sister, Rinka, is dissatisfied with this possibility because she is secretly in love with him.

This innocent relationship takes a dramatic turn when Kazuki receives an untitled DVD showing Otome engaging in sexual activities with elderly men. His despair grows even greater when similar DVDs start arriving on a regular basis. As Kazuki stares in horror at the love of his life being defiled by a group of strangers, he notices Otome's demeanor gradually changing.

[Written by MAL Rewrite]"
animeRelated	['Otomedori', 'Mesu Nochi Torare']
animeCharacters	['Sakuragi, Otome', 'Okino, Rinka', 'Okino, Kazuki']
animeVoices	['Asakawa, Yuu', 'Igarashi, Hiromi']
animeStaff	[['Nishikawa, Takashi', 'Director, Script, Storyboard, Key Animation, Animation Director, Character Design'], ['Carn', 'Original Creator'], ['Sugibayashi, Yurika', 'Color Design'], ['Sera, Kouta', 'Key Animation']]
