animeTitle	Satoukibibatake
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	119
animeScore	
animeUsers	
animeRank	13100
animePopularity	17511
animeDescription	An educational film about the Sugarcane Field song composed by Naohiko Terashima in honor of the fallen soldiers at the Battle of Okinawa. The song is a ballad focusing on a girl who does not know her father has died in battle and goes to search for him in the sugarcane fields wondering why people go to war and if it was all worth the risk.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
