animeTitle	KochinPa! Dainiki
animeType	TV
animeNumEpisode	24
releaseDate	2016-12-06 00:00:00
endDate	2017-05-16 00:00:00
animeNumMembers	
animeScore	4.69
animeUsers	488
animeRank	
animePopularity	10613
animeDescription	The second season of KochinPa!
animeRelated	['KochinPa!', 'Devidol!']
animeCharacters	['Aira', 'Hana', 'Shima']
animeVoices	['Pile', 'Hanazawa, Kana', 'Iguchi, Yuka']
animeStaff	[['Sugahara, Souta', 'Director, Script'], ['wogura', 'Character Design']]
