animeTitle	Usavich IV
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	1464
animeRank	
animePopularity	8748
animeDescription	The fourth season of Usavich.
animeRelated	['Usavich III', 'Usavich V']
animeCharacters	['Kirenenko', 'Putin', 'Boris', 'Leningrad', 'Comăneci', 'Koptsev', 'Mechanenko']
animeVoices	['Ueno, Hironori']
animeStaff	[['Tomioka, Satoshi', 'Director, Script, Storyboard, Screenplay, Original Creator'], ['Bach, Johann Sebastian', 'Music'], ['Ueno, Hironori', 'Sound Effects, Music']]
