animeTitle	Field ni Soyogu Kaze
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14791
animeDescription	Trying to prove he is the better soccer player, Kenji tackles and injures Yuta's leg during a trial for the school team. Impressed by the fact that Yuta still does what he can to contribute to the team; Kenji begins to realize the true meaning of sportsmanship.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
