animeTitle	Gunslinger Stratos
animeType	ONA
animeNumEpisode	1
releaseDate	2014-03-15 00:00:00
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	1255
animeRank	
animePopularity	7435
animeDescription	Animated movie of the popular online multi-player double gun action game Gunslinger Stratos 2 which was streamed on the official YouTube channel of Square Enix.
animeRelated	['Gunslinger Stratos The Animation']
animeCharacters	['Kazasumi, Tooru', 'Katagiri, Kyouka', 'Katagiri, Kyouma', 'Rindou, Shizune', 'Odhner, Remy']
animeVoices	['Abe, Atsushi', 'Kanemoto, Hisako', 'Nishida, Masakazu', 'Ueda, Kana', 'Sawashiro, Miyuki']
animeStaff	[['Aketagawa, Jin', 'Sound Director'], ['Fuchigami, Makoto', 'Episode Director, Storyboard'], ['Katou, Hiromi', 'Animation Director, Character Design'], ['Tamura, Yuri', 'Editing']]
