animeTitle	Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	116457
animeRank	
animePopularity	670
animeDescription	"Dreaming of becoming a hero and vanquishing the Demon King, Raul Chaser enters the Hero Training Program in pursuit of his ambition. However, when the Demon King is defeated and peace returns to the world, the Hero Training Program is suspended indefinitely, making it impossible for anyone to become a hero.

Two years later, Raul reluctantly works at a small electronics store called Magic Shop Leon. Though the former hero-in-training is plagued by the mundanity of working in retail, everything changes with the arrival of a new hire. Appearing at first to be just a boy with good looks, ""he"" turns out to be a female demon by the name of Fino Bloodstone. She is not just any old demon either—Raul's new coworker is in fact the daughter of the late Demon King! Handed the responsibility of training this eccentric new employee, Raul soon finds his life becoming livelier than it ever was before.

[Written by MAL Rewrite]"
animeRelated	['Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.', 'Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA', 'Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. Specials']
animeCharacters	['Bloodstone, Fino', 'Chaser, Raul', 'Beliferal, Lore', 'August, Seara', 'Luminous, Nova', 'Do Aximemor, Lamdimia', 'Crucial, Elsa', 'Ortinet, Airi', 'Fritz, Eric', 'Segment, Cuan']
animeVoices	['Tadokoro, Azusa', 'Koumoto, Keisuke', 'Takaragi, Kumi', 'Shimagata, Maina', 'Sowa, Madoka', 'Yamada, Natsumi', 'Nitta, Emi', 'Iwasaki, Kanae', 'Inada, Tetsu', 'Konishi, Katsuyuki']
animeStaff	[['Yoshimoto, Kinji', 'Director'], ['Nagura, Yasushi', 'Sound Director'], ['Nishikata, Yasuto', 'Episode Director'], ['Suzuki, Masashi', 'Script, Series Composition']]
