animeTitle	Boku no Marie
animeType	OVA
animeNumEpisode	3
releaseDate	1996-03-06 00:00:00
endDate	1996-08-21 00:00:00
animeNumMembers	4365
animeScore	6.27
animeUsers	1676
animeRank	7336
animePopularity	7405
animeDescription	Ever met the perfect girl? Did she have the perfect boyfriend? Feel like you can't compete? Why not build your own? When an amateur mad scientist attempts to build a robotic duplicate of this dream girl, Marie is the result. Of course, there are the usual unexpected complications. He built her so well that Marie has a mind of her own and a whole host of questions to go with it. The same questions that each of us ask of life. Where did I come from? Why am I here? Why do I look just like that girl over there?! Well, perhaps we don’t all have to worry about that, but Marie does!
animeRelated	['Boku no Marie']
animeCharacters	['Karigari, Marie', 'Karigari, Hiroshi', 'Kennou, Hibiki']
animeVoices	['Miyamura, Yuko', 'Iwata, Mitsuo', 'Matsumoto, Rica']
animeStaff	[['Mochizuki, Tomomi', 'Director, Storyboard'], ['Kaneko, Hidetoshi', 'Art Director'], ['Campbell, Charles', 'Recording Engineer'], ['Takeuchi, Sakura', 'Original Creator']]
