animeTitle	Ganbare Gonbe
animeType	TV
animeNumEpisode	77
releaseDate	1980-04-14 00:00:00
endDate	1980-08-19 00:00:00
animeNumMembers	224
animeScore	
animeUsers	
animeRank	15700
animePopularity	15637
animeDescription	"Based on the long running (1958 to 1992) gag manga by Sonoyama Shuji.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Gonbe', 'Santarou', 'Monko', 'Benkei', 'Fuko']
animeVoices	['Yamamoto, Keiko', 'Tsukase, Noriko', 'Kawanami, Yoko', 'Sawada, Kazuko', 'Mita, Yuuko']
animeStaff	[['Kondou, Eisuke', 'Director, Storyboard'], ['Mitsunobu, Hiroyoshi', 'Director, Storyboard, Chief Animation Director'], ['Ishiguro, Noboru', 'Storyboard'], ['Ishizaki, Susumu', 'Storyboard']]
