animeTitle	Mai-Otome Specials
animeType	Special
animeNumEpisode	9
releaseDate	2006-01-27 00:00:00
endDate	2006-09-26 00:00:00
animeNumMembers	
animeScore	6.97
animeUsers	2618
animeRank	
animePopularity	6606
animeDescription	Specials that followed on the Mai-Otome DVD.
animeRelated	['Mai-Otome']
animeCharacters	['Kruger, Natsuki', 'Yumemiya, Arika', 'Wáng, Nina', 'Tokiha, Mai', 'Blan de Windbloom, Mashiro', 'Viola, Shizuru', 'Sayers, Lena', 'Armitage, Haruka', 'Nao Zhang, Juliet', 'Miyu']
animeVoices	['Chiba, Saeko', 'Kikuchi, Mika', 'Koshimizu, Ami', 'Nakahara, Mai', 'Yukana', 'Yuzuki, Ryouka']
animeStaff	[['Takuno, Seiki', 'Episode Director'], ['Hisayuki, Hirokazu', 'Character Design']]
