animeTitle	Akubi Girl
animeType	TV
animeNumEpisode	26
releaseDate	2006-04-02 00:00:00
endDate	2006-09-24 00:00:00
animeNumMembers	760
animeScore	5.83
animeUsers	190
animeRank	9265
animePopularity	11842
animeDescription	"Akubi-chan is a cute magical girl. She is good at magic, she can turn into any form by tapping a tambourine, and she can grant any dream or wishes. Usually, Akubi-chan is in a vase, but when Ruru-chan, the owner of the vase, yarns (akubi), Akubi-chan pops out of the vase. Ruru-chan is in the 1st grade in elementary school, but she is little precocious and loves secretly her classmate Itoshi-kun living next-door. Akubi-chan uses various magic to make them good friends, but she always fails. However, for her best friend Ruru-chan, Akubi-chan gets out of the vase and taps the tambaine to play Cupid.

(Source: Animenfo) "
animeRelated	['Yobarete Tobidete Akubi-chan', 'Pandora to Akubi']
animeCharacters	['Yumemi, Ruru', 'Akubi', 'Aida, Itoshi']
animeVoices	['Kozakura, Etsuko', 'Kaneda, Tomoko']
animeStaff	[['Nakase, Rika', 'Script'], ['Yamashita, Kenichi', 'Script'], ['Iida, Hiroyoshi', 'Animation Director'], ['Inaba, Koshu', 'Music']]
