animeTitle	Doubutsu Mura no Daisodou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.09
animeUsers	360
animeRank	
animePopularity	12103
animeDescription	"This is the Animal Village within the forest. The Monkey Family with many children, the Bear Family, the Raccoon Family and many other animal families live happily together in this village. One night, a strong northerly wind puts the Monkey Family in panic, and the little boy bear of the Bear Family falls into the river. The Raccoon Family and the Monkey Family members all rush to the river to rescue him.

(Source: Digital Meme)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
