animeTitle	b'King of Prism All Stars: Prism Show\xe2\x98\x86Best Ten'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A collection of the lives from the King of Prism franchise. The best ten live scenes were chosen by the fans out of twenty-eight scenes.\n\nAlso includes a new scene from King of Prism: Shiny Seven Stars.'
animeRelated	[b'King of Prism: Shiny Seven Stars IV - Louis x Shin x Unknown', b'King of Prism: Shiny Seven Stars']
animeCharacters	[b'Kougami, Taiga', b'Hayami, Hiro', b'Nishina, Kazuki', b'Kisaragi, Louis', b'Yamato, Alexander', b'Tachibana, Yukinojou', b'Juuouin, Kakeru', b'Saionji, Leo', b'Takahashi, Minato', b'Suzuno, Yuu']
animeVoices	[b'\nHatanaka, Tasuku\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nMasuda, Toshiki\nJapanese\n', b'\nAoi, Shouta\nJapanese\n', b'\nTakeuchi, Shunsuke\nJapanese\n', b'\nSaitou, Souma\nJapanese\n', b'\nYashiro, Taku\nJapanese\n', b'\nNagatsuka, Takuma\nJapanese\n', b'\nIgarashi, Masashi\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n']
animeStaff	[]
