animeTitle	Himeyuri
animeType	Movie
animeNumEpisode	1
releaseDate	2012-06-23 00:00:00
endDate	
animeNumMembers	933
animeScore	6.43
animeUsers	235
animeRank	6532
animePopularity	11307
animeDescription	"The 30-minute film centers around a group of high school nurses called Himeyuri who served during the Battle of Okinawa during World War II.

The Himeyuri Alumnae Incorporated Foundation, which runs the Himeyuri Peace Museum in Okinawa, produced the film with the aim to convey the experiences of those high school nurses, many of whom lost their lives during the battle, to children.

(Source: ANN) "
animeRelated	[]
animeCharacters	['Narrator']
animeVoices	['Asato, Karen']
animeStaff	[['Shibata, Shohei', 'Director'], ['Kaizu, Ken', 'Original Creator']]
