animeTitle	Gear Fighter Dendoh
animeType	TV
animeNumEpisode	38
releaseDate	2000-10-04 00:00:00
endDate	2001-06-27 00:00:00
animeNumMembers	
animeScore	7.19
animeUsers	951
animeRank	
animePopularity	8439
animeDescription	"The story takes place in the future where war machines from evil mechanical alien empire Garufa finally reaches Earth. In order to protect earth, an Earth defense organization called GEAR (Guard Earth and Advanced Reconnaissance) is formed. GEAR has an ultimate weapon in a form of war mecha, GEAR Fighter Dendoh, which is piloted by two elementary school students, namely Kusanagi Hokuto and Izumo Ginga. Can the friendship between Hokuto and Ginga unleashed the full potential power of Dendoh in order to fight Garufa? 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Kusanagi, Hokuto', 'Izumo, Ginga', 'Vega', 'Subaru', 'Williamette, Eris', 'Altair', 'Kirakuni, Susumu']
animeVoices	['Shindo, Naomi', 'Matsuoka, Youko', 'Mitsuishi, Kotono', 'Suzumura, Kenichi', 'Ishimura, Tomoko', 'Nakata, Kazuhiro', 'Nojima, Kenji']
animeStaff	[['Fukuda, Mitsuo', 'Director, Episode Director, Storyboard'], ['Fujino, Sadayoshi', 'Sound Director'], ['Ono, Manabu', 'Episode Director, Storyboard'], ['Obara, Masakazu', 'Episode Director, Storyboard']]
