animeTitle	b'Shin Hitou Meguri'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	2284
animeRank	
animePopularity	
animeDescription	b'Based on the erotic game Shin Hitou Meguri by Potage.'
animeRelated	[b'Hitou Meguri Kakure Yu: Mao-hen']
animeCharacters	[b'Yuuduki, Iori', b'Yukino, Chitose']
animeVoices	[b'\nIgarashi, Hiromi\nJapanese\n', b'\nKawaragi, Shiho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKinohara, Hikaru\n\nCharacter Design\n\n']
