animeTitle	Uchuu Seibutsu Jirou
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.1
animeUsers	104
animeRank	
animePopularity	15939
animeDescription	"A mysterious cat from space called Uchuu Sebutsu Jirou has come to Earth. Jirou is often seen in places with music.

Jirou was created for promotional character goods purposes with toys, books, stickers, etc. This short promotional video will also be streamed at movie theaters starting on October 25, 2019."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
