animeTitle	Lupin III: Lupin wa Ima mo Moete Iru ka?
animeType	OVA
animeNumEpisode	1
releaseDate	2018-07-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.95
animeUsers	1493
animeRank	
animePopularity	7717
animeDescription	A 50th anniversary project.
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Pycal', 'Mamou, Kyosuke', 'Stoneman', 'Mister X', 'Momochi, Sandayuu']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Sawashiro, Miyuki', 'Namikawa, Daisuke', 'Yamadera, Kouichi', 'Yanaka, Hiroshi', 'Muraji, Manabu', 'Chafurin']
animeStaff	[['Monkey Punch', 'Director, Original Creator'], ['Kawagoe, Jun', 'Director'], ['Oono, Yuuji', 'Music'], ['Hirayama, Satoshi', 'Character Design']]
