animeTitle	Star Ocean: Anamnesis
animeType	ONA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12374
animeDescription	Fully animated trailers for Square Enix's Star Ocean: Anamnesis RPG mobile game franchise which launched for Android and iOS on December 5th, 2016. 
animeRelated	[]
animeCharacters	['Nox, Albel', 'Lanford, Rena', 'Flac, Dias', 'Kleiman, Verda', 'Sauvester, Miki', 'Camuze, Fidel', 'Froesson, Mavelle', 'Esteed, Sophia', 'Oakville, Victor', 'Rochelle']
animeVoices	['Sugita, Tomokazu', 'Izawa, Shiori', 'Touyama, Nao', 'Ishikawa, Kaito', 'Kuwashima, Houko', 'Enomoto, Atsuko', 'Nakamura, Yuuichi']
animeStaff	[['Sakuraba, Motoi', 'Music']]
