animeTitle	Alexander Senki Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2000-10-07 00:00:00
endDate	
animeNumMembers	2136
animeScore	5.92
animeUsers	492
animeRank	8964
animePopularity	9256
animeDescription	"In 356 BC, Alexander the Great arrives in Greece with the ominous destiny that he will become the ""destroyer of the world."" Inheriting the crown, he becomes king of the Macedonians and starts down a road of conquest with terrific speed. Alexander ultimately confronts his fated nemesis, Darius the Third, in a war with Persia which changes Alexander into the devil he was fated to become, assuring the destruction of all in his path, and possibly himself.

(Source: TBS Global Business)"
animeRelated	['Alexander Senki']
animeCharacters	['Alexander', 'Diogenes', 'Hephaestion', 'Cleitus', 'Roxanne', 'Philippos', 'Cassandra', 'Parmenion', 'Philip II', 'Dinocrates']
animeVoices	['Seki, Toshihiko', 'Kumakura, Kazuo', 'Tsujitani, Kouji', 'Ootsuka, Houchuu', 'Minaguchi, Yuko', 'Furuya, Toru', 'Tanaka, Atsuko', 'Nakamura, Tadashi', 'Sakaguchi, Yoshisada', 'Nakao, Ryusei']
animeStaff	[['Rintaro', 'Co-Director, Producer'], ['Kanemori, Yoshinori', 'Co-Director'], ['Maruyama, Masao', 'Producer'], ['Honda, Yasunori', 'Sound Director']]
