animeTitle	b'DPR Special Movie'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.49
animeUsers	593
animeRank	
animePopularity	
animeDescription	b'An anime made for JAXA (Japan Aerospace Exploration Agency) and NASA (National Aeronautics and Space Administration) that promotes the GPM/DPR (Global Precipitation Measurement/Dual-frequency Precipitation Radar) space mission.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
