animeTitle	Breakers
animeType	TV
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	2298
animeRank	
animePopularity	5488
animeDescription	"The anime will center on para-athletes who all meet an outcast sports scientist named Ren Narita. The anime will have four stories about four different sports: wheelchair basketball, track and high jump, goalball, and paralympic swimming.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Tama', 'Narita, Ren', 'Kai', 'Hayato', 'Narita, Shin', 'Narita, Ken', 'Itou', 'Narrator', 'Coach', 'Youko']
animeVoices	['Tamagawa, Sakiko', 'Miki, Shinichiro', 'Okada, Yui', 'Fukuyama, Jun', 'Okano, Yuu', 'Miyake, Kenta', 'Miyagi, Kazuki', 'Hori, Soushirou', 'Yuzuki, Ryouka']
animeStaff	[['Hakamada, Etsuko', 'Producer'], ['Inagaki, Ryousuke', 'Producer'], ['Nishikawa, Masataka', 'Director'], ['Kumamoto, Hiromu', 'Script']]
