animeTitle	b'Jinshin Yuugi'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.72
animeUsers	650
animeRank	
animePopularity	
animeDescription	b'Anything you want... for a price. \n\nThe Trainer will shape any woman into the culmination of your most erotic fantasies. Watch the parade of beautiful females that come to him to be transformed into the ultimate object of desire. Naughty, nice, playful, or passionate, each one is eager to please, and hand-tailored to fit your needs! '
animeRelated	[]
animeCharacters	[b'Sakuragi, Sanato', b'Hiroshi', b'Kusanagi', b'Matsunae, Sakura', b'Takamori', b'Natsumi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSekiguchi, Masahiro\n\nAnimation Director, Character Design\n\n']
