animeTitle	Suzakinishi The Animation
animeType	TV
animeNumEpisode	12
releaseDate	2015-07-08 00:00:00
endDate	2015-09-23 00:00:00
animeNumMembers	
animeScore	5.38
animeUsers	1154
animeRank	
animePopularity	7164
animeDescription	"Voice actresses Aya Suzaki and Asuka Nishi announced at an event in Tokyo on Sunday that their Suzakinishi radio program will get a television anime adaptation starting in July. The Suzakinishi The AanimationN anime will air on Tokyo MX TV, TV Kanazawa, and Sun TV.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Suzaki, Aya', 'Nishi, Asuka']
animeVoices	['Suzaki, Aya', 'Nishi, Asuka']
animeStaff	[['Hiramine, Yoshihiro', 'Director, Series Composition'], ['Yamamoto, Kouji', 'Sound Director'], ['Suzaki, Aya', 'Theme Song Performance'], ['Nishi, Asuka', 'Theme Song Performance']]
