animeTitle	Lupin III (2015): Italian Game
animeType	Special
animeNumEpisode	1
releaseDate	2016-01-08 00:00:00
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	1512
animeRank	
animePopularity	7265
animeDescription	"The special's story centers on the kidnapping of Rebecca Rossellini, a beautiful business owner who is a featured character in the new Lupin III TV anime series that is currently airing. Upon hearing of her kidnapping, Lupin rushes to her rescue. Additionally, Lupin receives a written challenge from a mysterious person named ""The Masked Count"" suggesting a contest: who can obtain the ""inheritance of Count Cagliostro"" first.

(Source: ANN)"
animeRelated	['Lupin III (2015)']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Rossellini, Rebecca', 'Nix', 'Zuccoli, Robson']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Sawashiro, Miyuki', 'Namikawa, Daisuke', 'Yamadera, Kouichi', 'Fujii, Yukiyo', 'Sakuya, Shunsuke', 'Yamanoi, Jin']
animeStaff	[['Tomonaga, Kazuhide', 'Director, Storyboard, Key Animation'], ['Yano, Yuuichirou', 'Director, Storyboard'], ['Morimoto, Kouji', 'Episode Director, Storyboard, Background Art, Key Animation'], ['Takahashi, Yuuya', 'Script, Series Composition']]
