animeTitle	b'Fushigi no Kuni no Alice Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Fushigi no Kuni no Alice']
animeCharacters	[b'Benny Bunny', b'Alice', b'Queen of Hearts', b'Celia', b'Mock Turtle', b'Humpty Dumpty', b'Caterpillar', b'Hare, March', b'Hatter, Mad', b'Dormouse']
animeVoices	[]
animeStaff	[]
