animeTitle	Kikou Kai Galient
animeType	TV
animeNumEpisode	25
releaseDate	1984-10-05 00:00:00
endDate	1985-03-29 00:00:00
animeNumMembers	
animeScore	6.41
animeUsers	626
animeRank	
animePopularity	8520
animeDescription	"Set in a far flung medieval-looking world of Arst, Prince Jordy Volder takes up the fight against the ambitions of the conqueror Marder. Jordy uses the legendary giant robot ""panzer"" Galient, which is one of many panzers that have been preserved underground for thousands of years. Using an army of advanced robot panzers, Marder is conquering all of Arst in preparation of his plan for dominance of the Crescent Galaxy.

(Source: Wikipedia)"
animeRelated	['Kikou Kai Galient OVA']
animeCharacters	['Vorder, Jordy', 'Hilmuka', 'Marder', 'Chururu', 'Windu, Redd', 'Shaltat, Hy', 'Leaben', 'Vorder, King', 'Eatz', 'Lorna']
animeVoices	['Kikuchi, Hidehiro', 'Hirano, Fumi', 'Katou, Seizou', 'Fuchizaki, Yuriko', 'Chiba, Shigeru', 'Hayami, Show', 'Kanazawa, Hisakazu', 'Mugihito', 'Hashimoto, Kouichi', 'Yokoo, Mari']
animeStaff	[['Takahashi, Ryousuke', 'Director, Original Creator'], ['Yatabe, Katsuyoshi', 'Episode Director'], ['Kase, Mitsuko', 'Episode Director, Storyboard'], ['Tsuda, Yoshizou', 'Episode Director, Storyboard']]
