animeTitle	Kyoukaisenjou no Horizon Special
animeType	Special
animeNumEpisode	1
releaseDate	2018-12-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	872
animeRank	
animePopularity	7451
animeDescription	"The Blu-ray Box set of Kyoukaisenjou no Horizon is slated to have an ""all-new bonus animation."" 

(Source: ANN)"
animeRelated	['Kyoukaisenjou no Horizon', 'Kyoukaisenjou no Horizon II', 'Kyoukaisenjou no Horizon: Kyokutou Naruhodo Kouza']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
