animeTitle	Akuma no Riddle: Shousha wa Dare? Nukiuchi Test
animeType	Special
animeNumEpisode	1
releaseDate	2014-11-22 00:00:00
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	18276
animeRank	
animePopularity	2986
animeDescription	"Unaired episode 13 of Akuma no Riddle released with the seventh Blu-ray/DVD volume.

The special will be previewed at a screening in Tokyo City on November 22, 2014. The BD/DVD will be released on December 17, 2014. "
animeRelated	['Akuma no Riddle']
animeCharacters	['Azuma, Tokaku', 'Ichinose, Haru', 'Hashiri, Nio', 'Sagae, Haruki', 'Banba, Mahiru', 'Inukai, Isuke', 'Takechi, Otoya', 'Hanabusa, Sumireko', 'Namatame, Chitaru', 'Shutou, Suzu']
animeVoices	['Suwa, Ayaka', 'Kanemoto, Hisako', 'Nanjou, Yoshino', 'Uchimura, Fumiko', 'Ootsubo, Yuka', 'Asakura, Azumi', 'Numakura, Manami', 'Arakawa, Miho', 'Misawa, Sachika', 'Anzai, Chika']
animeStaff	[['Glass, Caitlin', 'ADR Director'], ['Kouga, Yun', 'Original Creator'], ['Fukunaga, Gen', 'Executive Producer'], ['Minakata, Sunao', 'Original Character Design']]
