animeTitle	Tsukumo
animeType	Movie
animeNumEpisode	1
releaseDate	2012-06-04 00:00:00
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	3450
animeRank	
animePopularity	6205
animeDescription	"One night during the 18th century, deep in the mountains, a man loses his way and comes across a small shrine. As he enters, the space transforms into a room of a different world.

(Source: Annecy)"
animeRelated	['Hi no Youjin', 'Buki yo Saraba', 'Gambo', 'Short Peace Opening']
animeCharacters	['Man']
animeVoices	['Yamadera, Kouichi']
animeStaff	[['Arias, Michael', 'Producer'], ['Morita, Shuuhei', 'Director, Screenplay'], ['Ledford, John', 'Executive Producer'], ['Nakamura, Hideki', 'Background Art']]
