animeTitle	b'Pure Mail'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	1284
animeRank	
animePopularity	
animeDescription	"b'Episode 1:\n""There is no need for relationships"". Kei Ogata carried with him a trying, sad past. His only joy in life was chatting and mailing as a different person on the internet. One day he met a kind gentle girl on the net named Eve became friends with her. As time passed, they began sharing a strong bond of friendship. Then the other day, Kei began suspecting classmate Midori was Eve... \n\nEpisode 2:\nThe Summer Festival has past. Kei struggles with his own past, trying not to become the monster he hated so much. Midori worried about her best friend Miki look to A.W. for help. Little does she know, that the very A.W. was Kei and that he was Miki\'s problem. Will Kei be able to confess his love or will he forever be number two to his own alternate identity? \n\n(Source: AniDB)'"
animeRelated	[]
animeCharacters	[b'Ogata, Kei', b'Nagawa, Midori', b'Yuuki, Ryouka', b'Ogata, Father', b'Sakiyama, Takumi', b'Sekihata, Kunihiro', b'Sawanaga, Miki', b'Matou, Yumi', b'Ogata, Ai', b'Aoba, Eri']
animeVoices	[b'\nSuzumura, Kenichi\nJapanese\n', b'\nShizuki, Ami\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nNakai, Masataka\nJapanese\n', b'\nHatamiya, Kanoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMasaki, Shinichi\n\nDirector\n\n', b'\n0verflow\n\nOriginal Creator\n\n', b'\nNagamori, Yoshihiro\n\nKey Animation\n\n', b'\nYoshimoto, Takuji\n\nAnimation Director, Character Design\n\n']
