animeTitle	To LOVE-Ru Darkness OVA
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.56
animeUsers	61899
animeRank	
animePopularity	1429
animeDescription	Bundled with the 5th, 6th, 8th, 9th, 12th and 13th limited-edition volume of the manga.
animeRelated	['To LOVE-Ru Darkness', 'To LOVE-Ru Darkness 2nd']
animeCharacters	['Deviluke, Momo Belia', 'Konjiki no Yami', 'Kotegawa, Yui', 'Yuuki, Rito', 'Sairenji, Haruna', 'Deviluke, Lala Satalin', 'Yuuki, Mikan', 'Deviluke, Nana Astar', 'Kurosaki, Mea', 'Elsie Jewelria, Run']
animeVoices	['Toyosaki, Aki', 'Fukuen, Misato', 'Nazuka, Kaori', 'Watanabe, Akeno', 'Yahagi, Sayuri', 'Tomatsu, Haruka', 'Hanazawa, Kana', 'Itou, Kanae', 'Iguchi, Yuka', 'Ono, Fuyuka']
animeStaff	[['Hoshino, Makoto', 'Episode Director'], ['Yabuki, Kentarou', 'Original Character Design'], ['Hasemi, Saki', 'Original Creator'], ['Takeshita, Ryouhei', 'Key Animation']]
