animeTitle	b'Beautiful World'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	3594
animeRank	
animePopularity	
animeDescription	"b'A music video directed by Tsurumaki Kazuya to promote the movies of Rebuild of Evangelion and the main music theme, ""Beautiful World."" The video includes both new animation and animation from the film.'"
animeRelated	[b'Evangelion: 1.0 You Are (Not) Alone']
animeCharacters	[b'Souryuu, Asuka Langley', b'Ikari, Shinji', b'Ayanami, Rei']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTsurumaki, Kazuya\n\nDirector\n\n', b'\nUtada, Hikaru\n\nTheme Song Performance\n\n']
