animeTitle	b'Mushibugyou OVA'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	2837
animeRank	
animePopularity	
animeDescription	b'OVAs bundled with the 15-17th volumes of the Mushibugyou manga.'
animeRelated	[b'Joujuu Senjin!! Mushibugyou', b'Mushibugyou']
animeCharacters	[b'Tsukishima, Jinbee', b'Hibachi', b'Koikawa, Shungiku', b'Mugai', b'Ichinotani, Tenma', b'Mushibugyou', b'Haru', b'Matsunohara, Kotori', b'Sanada, Yukimura', b'Tokugawa, Ieshige']
animeVoices	[b'\nKENN\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n', b'\nTerashima, Takuma\nJapanese\n', b'\nSerizawa, Yuu\nJapanese\n', b'\nHan, Megumi\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHamana, Takayuki\n\nDirector\n\n', b'\nAkesaka, Satomi\n\nInserted Song Performance\n\n', b'\nFukuda, Hiroshi\n\nOriginal Creator\n\n', b'\nYamashita, Yoshimitsu\n\nCharacter Design\n\n']
