animeTitle	b'Earthian'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	3457
animeRank	
animePopularity	
animeDescription	b'Angels from the planet Eden have been watching Earthians, the inhabitants of Earth, for 5 billion years. Chihaya, an angel with unlucky black hair and wings, is a plus checker who travels to Earth with Kagetsuya, a minus checker. Each team of plus and minus checkers keep track of Earth events and, if the score ever reaches minus 10,000, the Earth will be destroyed. The story follows Chihaya and Kagetsuya and the different people and events they observe on Earth.\n\n(Source: ANN)'
animeRelated	[b'Earthian']
animeCharacters	[b'Chihaya', b'Kagetsuya', b'Messiah', b'Blair', b'Seraphim', b' Elvira', b'Miyagi', b'Aya', b'Gray, Cliff', b'Taki']
animeVoices	[b'\nSasaki, Nozomu\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nOgata, Megumi\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n', b'\nShimazu, Saeko\nJapanese\n', b'\nNakahara, Shigeru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOonuki, Kenichi\n\nDirector, Character Design\n\n', b'\nKogawa, Yoriyasu\n\nDirector, Script\n\n', b'\nTaniguchi, Gorou\n\nProduction Manager\n\n', b'\nKouga, Yun\n\nOriginal Character Design, Original Creator\n\n']
