animeTitle	Kaibutsu-kun: Demon no Ken
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14001
animeDescription	"Based on the shounen manga by Fujiko Fujio.

Note: Screened as a triple feature with Doraemon: Nobita no Daimakyou and Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki.

(Source: AniDB)"
animeRelated	['Doraemon Movie 03: Nobita no Daimakyou', 'Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki', 'Kaibutsu-kun (1980)']
animeCharacters	['Kaibutsu, Tarou', 'Franken', 'Dracula', 'Ookami Otoko']
animeVoices	['Nozawa, Masako', 'Kanemoto, Shingo']
animeStaff	[['Fukutomi, Hiroshi', 'Director'], ['Fujiko, Fujio F.', 'Original Creator'], ['Moriwaki, Makoto', 'Assistant Director'], ['Kigami, Yoshiji', 'Key Animation']]
