animeTitle	Kouya no Shounen Isamu
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.25
animeUsers	170
animeRank	
animePopularity	11513
animeDescription	The adventures of Isamu, a young boy living in the Far West, searching for his real father.
animeRelated	['Kouya no Shounen Isamu']
animeCharacters	['Isamu', 'Wingate, Ned', 'Big Stone']
animeVoices	['Kamiya, Akira', 'Murakoshi, Ichirou', 'Kobayashi, Kiyoshi']
animeStaff	[['Nitta, Yoshikata', 'Director'], ['Takahata, Isao', 'Episode Director, Storyboard'], ['Kaneko, Yutaka', 'Script'], ['Hata, Masami', 'Storyboard']]
