animeTitle	School Days ONA
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	15957
animeRank	
animePopularity	3116
animeDescription	"The story is about a love triangle between the male protagonist Makoto, and the two heroines Kotonoha and Sekai. Makoto develops a love interest in Kotonoha, a girl in the same year but different class. Although they both take the same train to school, she is unaware of his existence. His classmate, Sekai, manages to put the two together despite holding strong feelings towards Makoto.

(Source: ANN)"
animeRelated	['School Days']
animeCharacters	['Katsura, Kotonoha', 'Itou, Makoto', 'Saionji, Sekai', 'Kiyoura, Setsuna', 'Katsura, Kokoro', 'Kato, Otome', 'Sawanaga, Taisuke', 'Kanroji, Nanami', 'Obuchi, Minami', 'Kuroda, Hikari']
animeVoices	['Okajima, Tae', 'Hirakawa, Daisuke', 'Kawaragi, Shiho', 'Imoto, Kei', 'Ashiro, Megu', 'Nagami, Haruka', 'Matsumoto, Yoshirou', 'Takahashi, Chiaki', 'Kuribayashi, Minami', 'Tanaka, Ryouko']
animeStaff	[['Kuribayashi, Minami', 'Theme Song Performance'], ['Gotou, Junji', 'Chief Animation Director, Character Design'], ['0verflow', 'Original Creator'], ['Yakou, Hiroshi', 'Key Animation']]
