animeTitle	b'Dokkan! Robotendon'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Robotendon', b'Nabu, Salad', b'Gratin, Kamada', b'Tabachoko', b'Narrator']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nOotani, Ikue\nJapanese\n', b'\nYamanoi, Jin\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasagawa, Hiroshi\n\nDirector\n\n', b'\nKozuma, Shinsaku\n\nEpisode Director, Storyboard\n\n', b'\nKageyama, Hironobu\n\nTheme Song Performance\n\n', b'\nAsakawa, Hiroko\n\nTheme Song Performance\n\n']
