animeTitle	Kaitou Joker 2nd Season
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	2457
animeRank	
animePopularity	6732
animeDescription	"Second season in the Kaitou Joker anime series.

The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure.

(Source: ANN)"
animeRelated	['Kaitou Joker', 'Kaitou Joker 3rd Season']
animeCharacters	['Joker', 'Spade', 'Diamond, Queen', 'Hachi', 'Joker, Shadow', 'Dark Eye', 'Silver Heart', 'Rose', 'Roco', 'Ai']
animeVoices	['Murase, Ayumu', 'Shimono, Hiro', 'Sawashiro, Miyuki', 'Kobayashi, Yumiko', 'Saitou, Souma', 'Ono, Kenichi', 'Shimada, Bin', 'Kuno, Misaki', 'Hara, Yumi']
animeStaff	[['Teramoto, Yukiyo', 'Director'], ['Okada, Kenjirou', 'Episode Director'], ['Ootsuka, Takashi', 'Episode Director, Storyboard'], ['Satou, Dai', 'Script, Series Composition']]
