animeTitle	BanG Dream! Movie: Poppin' Dream!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	7642
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['BanG Dream!']
animeCharacters	['Ichigaya, Arisa', 'Toyama, Kasumi', 'Yamabuki, Saaya', 'Hanazono, Tae', 'Ushigome, Rimi']
animeVoices	['Itou, Ayasa', 'Terakawa, Aimi', 'Ohashi, Ayaka', 'Ootsuka, Sae', 'Nishimoto, Rimi']
animeStaff	[['Kakimoto, Koudai', 'Director'], ['Elements Garden', 'Music'], ['Ayana, Yuniko', 'Screenplay, Series Composition']]
