animeTitle	b'Odin: Koushi Hansen Starlight'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.2
animeUsers	1039
animeRank	
animePopularity	
animeDescription	"b'In the year 2099, mankind has colonized parts of the Solar System thanks to the evolution of space travel. To venture further beyond what man has accomplished, the space vessel Starlight is launched. After rescuing a mysterious girl from a wreckage near the asteroid fields, the crew of the Starlight plot a perilous journey towards the Canopus system in search of the planet known only as ""Odin"" - the possible key to all forms of life. \n\n(Source: ANN)'"
animeRelated	[]
animeCharacters	[b'Tsukuba, Akira', b'Cyanbaker, Sarah', b'Nelson, Mamoru', b'Belgel', b'Ishige, Jiro', b'Kuramoto, Shonosuke', b'Narrator', b'Ryo, Naoki']
animeVoices	[b'\nFurukawa, Toshio\nJapanese\n', b'\nHan, Keiko\nJapanese\n', b'\nHori, Hideyuki\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nNaya, Gorou\nJapanese\n', b'\nWakamoto, Norio\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishizaki, Yoshinobu\n\nProducer\n\n', b'\nKatsumata, Tomoharu\n\nProducer\n\n', b'\nYamamoto, Eiichi\n\nDirector, Screenplay\n\n', b'\nShirato, Takeshi\n\nDirector\n\n']
