animeTitle	b'Initial D Extra Stage'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	23175
animeRank	
animePopularity	
animeDescription	"b'The Lancer EVO-driving group ""Emperor"" have defeated every racing team they\'ve met in the Gunma region. Now they\'re out to challenge the duo of Mako and Sayuki and their SilEighty - the Impact Blue of Usui Mountain. \n\n(Source: ANN)'"
animeRelated	[b'Initial D Second Stage', b'Initial D Third Stage', b'Initial D Extra Stage 2']
animeCharacters	[b'Satou, Mako', b'Sayuki', b'Fujiwara, Takumi', b'Takahashi, Ryousuke', b'Takahashi, Keisuke', b'Takeuchi, Itsuki', b'Nakazato, Takeshi', b'Shouji, Shingo', b'Iketani, Kouichirou']
animeVoices	[b'\nNeya, Michiko\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nIwata, Mitsuo\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nYao, Kazuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKubota, Mitsutoshi\n\nProducer\n\n', b'\nVale, Eric\n\nScript\n\n', b'\nNeya, Michiko\n\nTheme Song Performance\n\n', b'\nKakazu, Yumi\n\nTheme Song Performance\n\n']
