animeTitle	b'Yichang Shengwu Jianwenlu'
animeType	b'ONA'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	1595
animeRank	
animePopularity	
animeDescription	"b""Yoshihito, a 23-year-old man who has no job or girlfriend. In order to make ends meet he rents out one of the rooms in his house. While he's showing Lily, his first tenant, around the house, she's suddenly attacked by a vampire named Vivian, and Yoshihito notices that Lily is actually a werewolf. As Yoshihito and Lily start living in the same house, Yoshihito is scouted for an organization that maintains order of the parallel universes, and strange creatures one after another become tenants in his house.\n\n(Source: ANN)"""
animeRelated	[b'Yichang Shengwu Jianwenlu Specials']
animeCharacters	[b'Anseta, Vivian', b'Liu, Lili', b'Yoshihito']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOkui, Masami\n\nTheme Song Composition, Theme Song Lyrics\n\n', b'\nAlfakyun.\n\nTheme Song Performance\n\n', b'\nPurely Monster\n\nTheme Song Performance\n\n']
