animeTitle	b'Tenkuu Danzai Skelter+Heaven'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	1.86
animeUsers	20666
animeRank	
animePopularity	
animeDescription	"b'When a mysterious entity suddenly appears in the center of Tokyo, the Alta Mira Agency is tasked to repel the extraterrestrial threat. Otsuya Funagai must guide his all-female unit of ""Battle Sole"" pilots to take down the strange being no matter the cost. However, his intimate relationship with one of the pilots, Rin Ichikawa, may spell trouble for the team and the mission itself.\n\n[Written by MAL Rewrite]'"
animeRelated	[]
animeCharacters	[b'Ichikawa, Rin', b'Funagai, Otsuya', b'Kashima, Misaki', b'Matsumura, Midori', b'Tamura, Konomi', b'Mishima, Hiroaki', b'Matsumoto, Ayaka', b'Sagawa, Makoto']
animeVoices	[b'\nNasu, Megumi\nJapanese\n', b'\nMiyoshi, Kouji\nJapanese\n', b'\nSuzuki, Naoko\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nChihara, Minori\nJapanese\n', b'\nOokawa, Chiho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Yoshiteru\n\nDirector, Script, Screenplay\n\n', b'\nChihara, Minori\n\nTheme Song Performance\n\n', b'\nIdea Factory\n\nOriginal Creator\n\n', b'\nOonuki, Kenichi\n\nAnimation Director\n\n']
