animeTitle	Kidou Shinsengumi Moeyo Ken TV
animeType	TV
animeNumEpisode	13
releaseDate	2005-07-02 00:00:00
endDate	2005-09-24 00:00:00
animeNumMembers	5273
animeScore	6.17
animeUsers	1625
animeRank	7850
animePopularity	6843
animeDescription	Set in an alternate version of the Meiji Era, a boy named Sakamoto Ryunosuke returns to Kyoto from Shanghai with his monster (youkai) Nekomaru. The law states that in order to live freely with humans, a youkai must be liscensed. The Kidou Shinsengumi Co. Ltd. is responsible for the capture of unliscensed youkais but must fight with the Tsubamegumi, who resents the new law. It turns out that Ryunosuke is the son of the owner of the Shinsengumis.
animeRelated	['Kidou Shinsengumi Moeyo Ken']
animeCharacters	['Nekomaru', 'Kondou, Yuko', 'Hijikata, Toshie', 'Sakamoto, Ryunosuke', 'Okita, Kaoru', 'Watase, Kiyomi']
animeVoices	['Tanaka, Mayumi', 'Orikasa, Ai', 'Matsui, Naoko', 'Yokoyama, Chisa', 'Ikezawa, Haruna', 'Sasajima, Kaoru']
animeStaff	[['Oomiya, Saburou', 'Producer'], ['Tokoro, Toshikatsu', 'Director'], ['Inoue, Kazuhiko', 'Sound Director'], ['Ueda, Kouji', 'Episode Director']]
