animeTitle	b'Nandaka Velonica'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	404
animeRank	
animePopularity	
animeDescription	"b'The children\'s anime revolves around Velonica, a high-handed and ultra-selfish little alien girl on the Galaxy Network, who begins to cause havoc on Earth. After a ""fated encounter"" with an Earthling boy, Velonica wavers between a possible budding romance with the boy and her dedication to the arts.\n\n(Source: ANN)'"
animeRelated	[]
animeCharacters	[b'Hoshino, Konpei', b'Velonica']
animeVoices	[b'\nIshikawa, Shizuka\nJapanese\n', b'\nKintarou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatou, Michiya\n\nDirector, Episode Director, Storyboard, Original Character Design\n\n', b'\nFujiki, Mitsuhiko\n\nScript\n\n', b'\nAndou, Hiroaki\n\nStoryboard\n\n', b'\nKonishi, Kenichi\n\nKey Animation, Animation Director\n\n']
