animeTitle	b'Shounen Sarutobi Sasuke'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.95
animeUsers	603
animeRank	
animePopularity	
animeDescription	"b'""Magic Boy"" was the first ever Japanese animation to be released theatrically in North America. \n\nSasuke, a boy vexed by an evil witch, studies magic and uses his powers to defeat her. \n\n(Source: bcdb) '"
animeRelated	[]
animeCharacters	[b'Oyuu']
animeVoices	[b'\nSakuramachi, Hiroko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMori, Yasuji\n\nKey Animation\n\n', b'\nYamamoto, Zenjirou\n\nPlanning\n\n', b'\nOkuyama, Reiko\n\nIn-Between Animation\n\n']
