animeTitle	b'Sweet Valerian'
animeType	b'TV'
animeNumEpisode	18
releaseDate	
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	867
animeRank	
animePopularity	
animeDescription	b'The Stress Team floats over the city, locating stressed out people and transforming them into monsters. To combat this, three girls reluctantly transform into the Sweet Valerians, bunny defenders of justice.\n\n(Source: ANN)'
animeRelated	[b'Sweet Valerian', b'Sweet Valerian Specials']
animeCharacters	[b'Kanoko', b'Kate', b'Pop']
animeVoices	[b'\nKoshimizu, Ami\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakurai, Hiroaki\n\nDirector\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n', b'\nKon, Chiaki\n\nEpisode Director, Storyboard\n\n', b'\nTamano, Harumi\n\nEpisode Director, Storyboard\n\n']
