animeTitle	To Heart 2 OVA
animeType	OVA
animeNumEpisode	3
releaseDate	2007-02-28 00:00:00
endDate	2007-09-28 00:00:00
animeNumMembers	
animeScore	6.88
animeUsers	2443
animeRank	
animePopularity	6334
animeDescription	"A collection of stories involving the girls of To Heart 2, with each episode focusing on a different character.

(Source: ANN)"
animeRelated	['To Heart 2', 'To Heart 2 AD']
animeCharacters	['Kousaka, Tamaki', 'Kusugawa, Sasara', 'Komaki, Manaka', 'Asagiri, Maako', 'Kouno, Takaaki', 'HMX-17α Ilfa', 'Misora, Lucy Maria', 'Yuzuhara, Konomi', 'Tonami, Yuma', 'Himeyuri, Sango']
animeVoices	['Itou, Shizuka', 'Ono, Ryouko', 'Rikimaru, Noriko', 'Kogure, Ema', 'Fukuyama, Jun', 'Hagiwara, Emiko', 'Natsuki, Rio', 'Hase, Yurina', 'Nabatame, Hitomi', 'Ishizuka, Sayori']
animeStaff	[['Kato, Yasuhisa', 'Director, Episode Director, Storyboard, Character Design, Animation Director'], ['Katsura, Kenichiro', 'Episode Director, Storyboard, Animation Director, Key Animation, Assistant Animation Director, Character Design'], ['Suara', 'Theme Song Performance'], ['Aquaplus', 'Original Creator']]
