animeTitle	b'Kaishain x Sumida Suizokukan Bikkuri! Kai Matsuri CM'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A Kaishain promotion for the Sumida Aquarium featuring a exhibit that has the species of animals the Kaishain characters are modeled after: clione, octopus, and various shellfish. The exhibit will run from Saturday, March 18, 2017 - Sunday May 7, 2017.'
animeRelated	[b'Asa Da yo! Kaishain', b'Cine Mileage Card x Asa Da yo! Kaishain', b'Kaishain vs. Credit Card Kachou: CreCar no Rule Shitteru kai?']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
