animeTitle	Bulg-eunmae
animeType	Movie
animeNumEpisode	1
releaseDate	1995-08-05 00:00:00
endDate	
animeNumMembers	1068
animeScore	5.54
animeUsers	485
animeRank	10234
animePopularity	10987
animeDescription	"Gang terror and chaos reign in the land of Chungwon. The Camelia Blossoms are the most powerful of the warring gangs and they use this time of unrest to wrestle control of the country from the ailing peoples government, while also producing counterfeit gold coins to cripple the struggling economy. The only hope of freedom lies with the enigmatic Red Hawk.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
