animeTitle	b'Injuu Kyoushi'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	744
animeRank	
animePopularity	
animeDescription	b'Atsuko and Sayaka think they have it made when they are both accepted into the same prestigious women`s academy. There, they will be free to explore the intense passion of their relationship, unbounded. \n\nBut when the mystical bonds imprisoning a hideous ancient evil that feeds on the lust of nubile women are accidentally broken, the two young lovers soon learn they have more to fear than final exams. '
animeRelated	[]
animeCharacters	[b'Tachibana, Haruka']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nIwakura, Kazunori\n\nCharacter Design\n\n', b'\nIino, Toshiaki\n\nKey Animation\n\n', b'\nIkeda, Yuuji\n\nKey Animation\n\n', b'\nIshii, Hisashi\n\nKey Animation\n\n']
