animeTitle	b'Kakushi Dere'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.93
animeUsers	3977
animeRank	
animePopularity	
animeDescription	"b'Nonoka goes out of her way to make a written confession to the older brother of one of her classmates, but he doesn\'t even read the letters. This prompts her to stop by in person, and express her ""hate"" for him through various antics...'"
animeRelated	[b'Kakushi Dere', b'Kakushi Dere Special']
animeCharacters	[b'Nonoura, Nonoka', b'Takizawa, Ryutaro', b'Takaoka, Misaki', b'Takaoka, Makoto', b'Mitsunashi, Chizuru', b'Takizawa, Hiroaki']
animeVoices	[b'\nSakurai, Harumi\nJapanese\n', b'\nKawaragi, Shiho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOoyama, Takashi\n\nDirector\n\n', b'\nKurotsuguchi, Narue\n\nEpisode Director, Storyboard\n\n', b'\nHyocorou\n\nOriginal Creator\n\n']
