animeTitle	b'Neko mo, Onda-ke'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.27
animeUsers	104
animeRank	
animePopularity	
animeDescription	b'The manga is set in Matsuyama City in the southwestern prefecture of Ehime on Shikoku Island during the Showa 40s era (1965-1975). The Onda family includes the big sister Sachiko who is a passionate fan of the idol Hiromi D\xc5\x8d, the little brother Takushi who is terrible at arithmetic, the father Yoshito who works at a factory and is a Yomiuri Giants baseball fan, the mother Natsuko who wants to build a house for the family, and the newest addition \xe2\x80\x94 a cat named Mii.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Onda, Takushi', b'Onda, Sachiko', b'Onda, Natsuko', b'Onda, Yoshito', b'Onda, Zenkichi']
animeVoices	[b'\nSena, Yoshinobu\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nNishimura, Tomohiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSena, Yoshinobu\n\nDirector, Episode Director, Script, Storyboard\n\n']
