animeTitle	Kiratto Pri☆chan Season 3
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.74
animeUsers	212
animeRank	
animePopularity	10126
animeDescription	Third season of Kiratto Pri☆chan.
animeRelated	['Kiratto Pri☆chan Season 2', 'Pretty All Friends Selection']
animeCharacters	['Dia', 'Momoyama, Mirai', 'Akagi, Anna', 'Moegi, Emo', 'Midorikawa, Sara', 'Kanamori, Maria', 'Shidou, Mel', 'Aoba, Rinka', 'Rabbily', 'KiraCHU']
animeVoices	['Hayashi, Koko', 'Serizawa, Yuu', 'Kubota, Miyu', 'Wakai, Yuuki', 'Akaneya, Himika', 'Morishima, Yuuka', 'Atsugi, Nanami', 'Tanaka, Minami', 'Yamashita, Nanami']
animeStaff	[['Ikehata, Hiroshi', 'Director'], ['Run Girls, Run!', 'Theme Song Performance'], ['Katou, Tatsuya', 'Music'], ['Hyoudou, Kazuho', 'Series Composition']]
