animeTitle	Saiyuuki Reload
animeType	TV
animeNumEpisode	25
releaseDate	2003-10-02 00:00:00
endDate	2004-03-25 00:00:00
animeNumMembers	30288
animeScore	7.4
animeUsers	11572
animeRank	1981
animePopularity	3268
animeDescription	"Priest Genjo Sanzo and companions Cho Hakkai, Sha Gojyo, and Son Goku maintain their westward journey to stop the resurrection of the demon Gyoumao. As the reputation of the Sanzo Ikkou precedes them, they continue to fight demon assassins at every turn, but they must also deal with increasing tensions within their group in order to defeat a powerful enemy. 

(Source: ANN)"
animeRelated	['Saiyuuki', 'Saiyuuki Reload', 'Gensoumaden Saiyuuki', 'Saiyuuki Reload Gunlock']
animeCharacters	['Genjou, Sanzou', 'Son, Gokuu', 'Cho, Hakkai', 'Sha, Gojou', 'Kougaiji', 'Jianyi, Ni', 'Lirin', 'Koumyou, Sanzo', 'Jeep', 'Bosatsu, Kanzeon']
animeVoices	['Seki, Toshihiko', 'Hoshi, Souichirou', 'Ishida, Akira', 'Hirata, Hiroaki', 'Kusao, Takeshi', 'Ootsuka, Houchuu', 'Kawakami, Tomoko', 'Narita, Ken', 'Okajima, Tae', 'Igarashi, Rei']
animeStaff	[['Endou, Tetsuya', 'Director, Sound Director, Episode Director, Script, Storyboard, Series Composition'], ['Kon, Chiaki', 'Episode Director, Storyboard'], ['Yamato, Naomichi', 'Episode Director, Storyboard'], ['U-ka Saegusa in db', 'Theme Song Lyrics']]
